"logger","datetime","temperature","conductivity"
"21044167",2021-09-15 15:15:00,34.691,0
"21044167",2021-09-15 15:30:00,34.479,0
"21044167",2021-09-15 15:45:00,33.535,0
"21044167",2021-09-15 16:00:00,31.676,0
"21044167",2021-09-15 16:15:00,30.154,21.5
"21044167",2021-09-15 16:30:00,28.953,53.8
"21044167",2021-09-15 16:45:00,27.862,75.3
"21044167",2021-09-15 17:00:00,27.173,64.6
"21044167",2021-09-15 17:15:00,26.781,86.1
"21044167",2021-09-15 17:30:00,26.39,75.3
"21044167",2021-09-15 17:45:00,25.902,86.1
"21044167",2021-09-15 18:00:00,25.513,86.1
"21044167",2021-09-15 18:15:00,25.222,107.6
"21044167",2021-09-15 18:30:00,24.835,96.9
"21044167",2021-09-15 18:45:00,24.448,107.6
"21044167",2021-09-15 19:00:00,23.966,129.2
"21044167",2021-09-15 19:15:00,23.388,150.7
"21044167",2021-09-15 19:30:00,22.812,150.7
"21044167",2021-09-15 19:45:00,22.142,204.5
"21044167",2021-09-15 20:00:00,21.569,193.8
"21044167",2021-09-15 20:15:00,21.091,183
"21044167",2021-09-15 20:30:00,20.615,172.2
"21044167",2021-09-15 20:45:00,20.329,215.3
"21044167",2021-09-15 21:00:00,20.138,236.8
"21044167",2021-09-15 21:15:00,20.043,269.1
"21044167",2021-09-15 21:30:00,19.948,279.9
"21044167",2021-09-15 21:45:00,19.948,290.6
"21044167",2021-09-15 22:00:00,19.853,301.4
"21044167",2021-09-15 22:15:00,19.758,301.4
"21044167",2021-09-15 22:30:00,19.567,301.4
"21044167",2021-09-15 22:45:00,19.472,290.6
"21044167",2021-09-15 23:00:00,19.377,279.9
"21044167",2021-09-15 23:15:00,19.377,290.6
"21044167",2021-09-15 23:30:00,19.377,290.6
"21044167",2021-09-15 23:45:00,19.282,290.6
"21044167",2021-09-16 00:00:00,19.187,290.6
"21044167",2021-09-16 00:15:00,19.187,279.9
"21044167",2021-09-16 00:30:00,19.092,258.3
"21044167",2021-09-16 00:45:00,19.092,258.3
"21044167",2021-09-16 01:00:00,19.092,269.1
"21044167",2021-09-16 01:15:00,19.092,258.3
"21044167",2021-09-16 01:30:00,18.996,269.1
"21044167",2021-09-16 01:45:00,18.996,279.9
"21044167",2021-09-16 02:00:00,18.901,269.1
"21044167",2021-09-16 02:15:00,18.806,290.6
"21044167",2021-09-16 02:30:00,18.806,301.4
"21044167",2021-09-16 02:45:00,18.711,301.4
"21044167",2021-09-16 03:00:00,18.616,279.9
