"logger","datetime","temperature","conductivity"
"21044160",2021-09-15 12:30:00,29.953,0
"21044160",2021-09-15 12:45:00,31.88,0
"21044160",2021-09-15 13:00:00,33.743,0
"21044160",2021-09-15 13:15:00,31.37,0
"21044160",2021-09-15 13:30:00,29.252,0
"21044160",2021-09-15 13:45:00,28.357,0
"21044160",2021-09-15 14:00:00,28.159,0
"21044160",2021-09-15 14:15:00,29.853,0
"21044160",2021-09-15 14:30:00,32.911,0
"21044160",2021-09-15 14:45:00,33.848,0
"21044160",2021-09-15 15:00:00,32.704,0
"21044160",2021-09-15 15:15:00,30.862,0
"21044160",2021-09-15 15:30:00,29.752,0
"21044160",2021-09-15 15:45:00,29.652,0
"21044160",2021-09-15 16:00:00,29.552,0
"21044160",2021-09-15 16:15:00,29.352,0
"21044160",2021-09-15 16:30:00,28.953,0
"21044160",2021-09-15 16:45:00,28.456,0
"21044160",2021-09-15 17:00:00,27.862,0
"21044160",2021-09-15 17:15:00,27.764,0
"21044160",2021-09-15 17:30:00,27.272,0
"21044160",2021-09-15 17:45:00,26.585,0
"21044160",2021-09-15 18:00:00,26.097,0
"21044160",2021-09-15 18:15:00,25.708,0
"21044160",2021-09-15 18:30:00,25.222,0
"21044160",2021-09-15 18:45:00,24.738,0
"21044160",2021-09-15 19:00:00,24.255,0
"21044160",2021-09-15 19:15:00,23.773,0
"21044160",2021-09-15 19:30:00,23.196,0
"21044160",2021-09-15 19:45:00,22.525,0
"21044160",2021-09-15 20:00:00,21.951,0
"21044160",2021-09-15 20:15:00,21.473,0
"21044160",2021-09-15 20:30:00,20.996,0
"21044160",2021-09-15 20:45:00,20.71,0
"21044160",2021-09-15 21:00:00,20.424,0
"21044160",2021-09-15 21:15:00,20.234,0
"21044160",2021-09-15 21:30:00,20.138,0
"21044160",2021-09-15 21:45:00,19.948,0
"21044160",2021-09-15 22:00:00,19.853,0
"21044160",2021-09-15 22:15:00,19.662,0
"21044160",2021-09-15 22:30:00,19.567,0
"21044160",2021-09-15 22:45:00,19.377,0
"21044160",2021-09-15 23:00:00,19.282,0
"21044160",2021-09-15 23:15:00,19.187,0
"21044160",2021-09-15 23:30:00,19.092,0
"21044160",2021-09-15 23:45:00,19.092,0
"21044160",2021-09-16 00:00:00,19.092,0
"21044160",2021-09-16 00:15:00,18.996,0
"21044160",2021-09-16 00:30:00,18.996,0
"21044160",2021-09-16 00:45:00,18.996,0
"21044160",2021-09-16 01:00:00,18.996,0
"21044160",2021-09-16 01:15:00,18.996,0
"21044160",2021-09-16 01:30:00,18.996,0
"21044160",2021-09-16 01:45:00,18.996,0
"21044160",2021-09-16 02:00:00,18.996,0
"21044160",2021-09-16 02:15:00,18.901,0
"21044160",2021-09-16 02:30:00,18.806,0
"21044160",2021-09-16 02:45:00,18.711,0
"21044160",2021-09-16 03:00:00,18.616,0
"21044160",2021-09-16 03:15:00,18.426,0
"21044160",2021-09-16 03:30:00,18.331,0
"21044160",2021-09-16 03:45:00,18.236,0
"21044160",2021-09-16 04:00:00,18.236,0
"21044160",2021-09-16 04:15:00,18.14,0
"21044160",2021-09-16 04:30:00,17.95,0
"21044160",2021-09-16 04:45:00,17.95,0
"21044160",2021-09-16 05:00:00,17.855,0
"21044160",2021-09-16 05:15:00,17.855,0
"21044160",2021-09-16 05:30:00,17.76,0
"21044160",2021-09-16 05:45:00,17.76,0
"21044160",2021-09-16 06:00:00,17.665,0
"21044160",2021-09-16 06:15:00,17.665,0
"21044160",2021-09-16 06:30:00,17.57,0
"21044160",2021-09-16 06:45:00,17.57,0
"21044160",2021-09-16 07:00:00,17.57,0
"21044160",2021-09-16 07:15:00,17.57,0
"21044160",2021-09-16 07:30:00,17.57,0
"21044160",2021-09-16 07:45:00,17.665,0
"21044160",2021-09-16 08:00:00,17.76,0
"21044160",2021-09-16 08:15:00,18.045,0
"21044160",2021-09-16 08:30:00,18.426,0
"21044160",2021-09-16 08:45:00,18.901,0
"21044160",2021-09-16 09:00:00,19.377,0
"21044160",2021-09-16 09:15:00,19.948,0
"21044160",2021-09-16 09:30:00,20.519,0
"21044160",2021-09-16 09:45:00,21.187,0
"21044160",2021-09-16 10:00:00,21.855,0
"21044160",2021-09-16 10:15:00,22.525,0
"21044160",2021-09-16 10:30:00,23.773,0
"21044160",2021-09-16 10:45:00,26.781,0
"21044160",2021-09-16 11:00:00,30.054,0
"21044160",2021-09-16 11:15:00,31.472,0
"21044160",2021-09-16 11:30:00,35.756,0
"21044160",2021-09-16 11:45:00,38.268,0
"21044160",2021-09-16 12:00:00,37.714,0
"21044160",2021-09-16 12:15:00,38.938,0
"21044160",2021-09-16 12:30:00,38.826,0
"21044160",2021-09-16 12:45:00,40.3,0
"21044160",2021-09-16 13:00:00,41.108,0
"21044160",2021-09-16 13:15:00,36.403,0
"21044160",2021-09-16 13:30:00,33.118,0
"21044160",2021-09-16 13:45:00,31.574,0
"21044160",2021-09-16 14:00:00,31.268,0
"21044160",2021-09-16 14:15:00,33.326,0
"21044160",2021-09-16 14:30:00,36.728,0
"21044160",2021-09-16 14:45:00,37.714,0
"21044160",2021-09-16 15:00:00,36.295,0
"21044160",2021-09-16 15:15:00,34.058,0
"21044160",2021-09-16 15:30:00,32.911,0
"21044160",2021-09-16 15:45:00,32.291,0
"21044160",2021-09-16 16:00:00,31.778,0
"21044160",2021-09-16 16:15:00,31.472,0
"21044160",2021-09-16 16:30:00,31.472,0
"21044160",2021-09-16 16:45:00,31.064,0
"21044160",2021-09-16 17:00:00,30.862,0
"21044160",2021-09-16 17:15:00,30.457,0
"21044160",2021-09-16 17:30:00,29.752,0
"21044160",2021-09-16 17:45:00,29.053,0
"21044160",2021-09-16 18:00:00,28.159,0
"21044160",2021-09-16 18:15:00,27.468,0
"21044160",2021-09-16 18:30:00,26.879,0
"21044160",2021-09-16 18:45:00,26.39,0
"21044160",2021-09-16 19:00:00,25.805,0
"21044160",2021-09-16 19:15:00,25.125,0
"21044160",2021-09-16 19:30:00,24.448,0
