"logger","datetime","temperature","conductivity"
"20946496",2021-09-17 10:00:00,29.352,0
"20946496",2021-09-17 10:15:00,30.356,301.4
"20946496",2021-09-17 10:30:00,30.154,0
"20946496",2021-09-17 10:45:00,29.252,0
"20946496",2021-09-17 11:00:00,33.118,0
"20946496",2021-09-17 11:15:00,35.756,0
"20946496",2021-09-17 11:30:00,37.055,0
"20946496",2021-09-17 11:45:00,38.379,0
"20946496",2021-09-17 12:00:00,39.389,0
"20946496",2021-09-17 12:15:00,40.3,0
"20946496",2021-09-17 12:30:00,40.876,0
"20946496",2021-09-17 12:45:00,41.341,0
"20946496",2021-09-17 13:00:00,41.928,0
"20946496",2021-09-17 13:15:00,42.282,0
"20946496",2021-09-17 13:30:00,42.52,0
"20946496",2021-09-17 13:45:00,42.52,0
"20946496",2021-09-17 14:00:00,42.282,0
"20946496",2021-09-17 14:15:00,42.164,0
"20946496",2021-09-17 14:30:00,41.928,0
"20946496",2021-09-17 14:45:00,41.575,0
"20946496",2021-09-17 15:00:00,40.876,0
"20946496",2021-09-17 15:15:00,40.53,0
"20946496",2021-09-17 15:30:00,39.502,0
"20946496",2021-09-17 15:45:00,41.575,0
"20946496",2021-09-17 16:00:00,40.071,0
"20946496",2021-09-17 16:15:00,37.714,0
"20946496",2021-09-17 16:30:00,35.328,0
"20946496",2021-09-17 16:45:00,34.903,0
"20946496",2021-09-17 17:00:00,34.374,0
"20946496",2021-09-17 17:15:00,32.911,0
"20946496",2021-09-17 17:30:00,31.778,0
"20946496",2021-09-17 17:45:00,32.394,0
"20946496",2021-09-17 18:00:00,30.963,0
"20946496",2021-09-17 18:15:00,29.352,10.8
"20946496",2021-09-17 18:30:00,28.159,32.3
"20946496",2021-09-17 18:45:00,27.173,43.1
"20946496",2021-09-17 19:00:00,26.195,53.8
"20946496",2021-09-17 19:15:00,25.319,86.1
"20946496",2021-09-17 19:30:00,24.351,129.2
"20946496",2021-09-17 19:45:00,24.062,0
"20946496",2021-09-17 20:00:00,24.255,0
"20946496",2021-09-17 20:15:00,23.966,0
"20946496",2021-09-17 20:30:00,23.292,0
"20946496",2021-09-17 20:45:00,22.908,21.5
"20946496",2021-09-17 21:00:00,22.333,96.9
"20946496",2021-09-17 21:15:00,21.76,75.3
"20946496",2021-09-17 21:30:00,21.473,53.8
"20946496",2021-09-17 21:45:00,21.76,21.5
"20946496",2021-09-17 22:00:00,21.951,43.1
"20946496",2021-09-17 22:15:00,21.951,43.1
"20946496",2021-09-17 22:30:00,21.855,43.1
"20946496",2021-09-17 22:45:00,21.378,43.1
"20946496",2021-09-17 23:00:00,20.901,32.3
"20946496",2021-09-17 23:15:00,20.519,32.3
"20946496",2021-09-17 23:30:00,20.329,32.3
"20946496",2021-09-17 23:45:00,20.234,32.3
"20946496",2021-09-18 00:00:00,20.234,21.5
"20946496",2021-09-18 00:15:00,20.329,21.5
"20946496",2021-09-18 00:30:00,20.424,1377.8
"20946496",2021-09-18 00:45:00,20.329,1291.7
"20946496",2021-09-18 01:00:00,20.043,1280.9
"20946496",2021-09-18 01:15:00,19.758,1270.1
"20946496",2021-09-18 01:30:00,19.472,1248.6
"20946496",2021-09-18 01:45:00,19.282,1248.6
"20946496",2021-09-18 02:00:00,19.187,1808.3
"20946496",2021-09-18 02:15:00,19.092,1722.2
"20946496",2021-09-18 02:30:00,18.996,1980.6
"20946496",2021-09-18 02:45:00,18.711,2066.7
"20946496",2021-09-18 03:00:00,18.616,1894.5
"20946496",2021-09-18 03:15:00,18.616,2066.7
"20946496",2021-09-18 03:30:00,18.711,2152.8
