datetime,n_wet.x,n_sensors.x,percent1000,n_wet.y,n_sensors.y,percent800,n_wet.x.x,n_sensors.x.x,percent600,n_wet.y.y,n_sensors.y.y,percent400,n_wet,n_sensors,percent200
2021-05-23T05:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T05:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T05:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T05:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T06:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T06:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T06:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T06:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T07:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T07:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T07:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T07:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T08:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T08:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T08:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T08:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T09:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T09:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T09:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T09:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T10:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T10:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T10:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T10:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T11:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T11:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T11:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T11:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T12:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T12:15:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T12:30:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T12:45:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
2021-05-23T13:00:00Z,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572,67,70,0.9571428571428572
